method	actual_sparsity	metric	score
fluctuation_set_difference	0.003386	inst_ASR_multiple_nosys	0.1380
fluctuation_set_difference	0.003386	no_inst_ASR_basic	0.1000
fluctuation_set_difference	0.003386	no_inst_ASR_basic_nosys	0.7800
fluctuation_set_difference	0.003386	no_inst_ASR_multiple_nosys	0.7080
fluctuation_set_difference	0.003386	ASR_gcg	0.8500

fluctuation_set_difference	0.003386	winogrande	0.6600
fluctuation_set_difference	0.003386	hellaswag	0.5400
fluctuation_set_difference	0.003386	arc_challenge	0.4300
fluctuation_set_difference	0.003386	rte	0.6950
fluctuation_set_difference	0.003386	openbookqa	0.3450
fluctuation_set_difference	0.003386	boolq	0.8000
fluctuation_set_difference	0.003386	averaged	0.5783

fluctuation_set_difference	0.006770	PPL	6.7588
fluctuation_set_difference	0.006770	inst_ASR_basic	0.0000 
fluctuation_set_difference	0.006770	inst_ASR_basic_nosys	0.1900
fluctuation_set_difference	0.006770	inst_ASR_multiple_nosys	0.3100
fluctuation_set_difference	0.006770	no_inst_ASR_basic	0.1900
fluctuation_set_difference	0.006770	no_inst_ASR_basic_nosys	0.8400
fluctuation_set_difference	0.006770	no_inst_ASR_multiple_nosys	0.7920
fluctuation_set_difference	0.006770	ASR_gcg	0.9400

fluctuation_set_difference	0.006770	openbookqa	0.3400
fluctuation_set_difference	0.006770	boolq	0.7850
fluctuation_set_difference	0.006770	rte	0.7050
fluctuation_set_difference	0.006770	arc_challenge	0.4250
fluctuation_set_difference	0.006770	hellaswag	0.5200
fluctuation_set_difference	0.006770	winogrande	0.6400
fluctuation_set_difference	0.006770	averaged	0.5692

Case 2 not normalized => smallest(diff(safety, utility)) => 0.03366 (0.05)

fluctuation_set_difference	0.006660	PPL	7.7783
fluctuation_set_difference	0.006660	inst_ASR_basic	0.0000
fluctuation_set_difference	0.006660	inst_ASR_basic_nosys	0.0000
fluctuation_set_difference	0.006660	inst_ASR_multiple_nosys	0.0020
fluctuation_set_difference	0.006660	no_inst_ASR_basic	0.0000
fluctuation_set_difference	0.006660	no_inst_ASR_basic_nosys	0.1300
fluctuation_set_difference	0.006660	no_inst_ASR_multiple_nosys	0.2420
fluctuation_set_difference	0.006660	ASR_gcg	0.1200
fluctuation_set_difference	0.006660	hellaswag	0.5250
fluctuation_set_difference	0.006660	rte	0.6550
fluctuation_set_difference	0.006660	boolq	0.7650
fluctuation_set_difference	0.006660	openbookqa	0.2900
fluctuation_set_difference	0.006660	arc_challenge	0.4100
fluctuation_set_difference	0.006660	winogrande	0.6600
fluctuation_set_difference	0.006660	averaged	0.5508

fluctuation_set_difference	0.033676	PPL	22.7738
fluctuation_set_difference	0.033676	inst_ASR_basic	0.0000
fluctuation_set_difference	0.033676	inst_ASR_basic_nosys	0.0000
fluctuation_set_difference	0.033676	inst_ASR_multiple_nosys	0.0020
fluctuation_set_difference	0.033676	no_inst_ASR_basic	0.0900
fluctuation_set_difference	0.033676	no_inst_ASR_basic_nosys	0.1200
fluctuation_set_difference	0.033676	no_inst_ASR_multiple_nosys	0.3680
fluctuation_set_difference	0.033676	ASR_gcg	0.0200
fluctuation_set_difference	0.033676	winogrande	0.6650
fluctuation_set_difference	0.033676	arc_challenge	0.2900
fluctuation_set_difference	0.033676	openbookqa	0.2450
fluctuation_set_difference	0.033676	hellaswag	0.4600
fluctuation_set_difference	0.033676	rte	0.5600
fluctuation_set_difference	0.033676	boolq	0.5850
fluctuation_set_difference	0.033676	averaged	0.4675

fluctuation_set_difference	0.067530	PPL	180.2294
fluctuation_set_difference	0.067530	inst_ASR_basic	0.0000
fluctuation_set_difference	0.067530	inst_ASR_basic_nosys	0.0000
fluctuation_set_difference	0.067530	inst_ASR_multiple_nosys	0.2620
fluctuation_set_difference	0.067530	no_inst_ASR_basic	0.2300
fluctuation_set_difference	0.067530	no_inst_ASR_basic_nosys	0.4800
fluctuation_set_difference	0.067530	no_inst_ASR_multiple_nosys	0.5840
fluctuation_set_difference	0.067530	ASR_gcg	0.1400
fluctuation_set_difference	0.067530	winogrande	0.5650
fluctuation_set_difference	0.067530	boolq	0.5950
fluctuation_set_difference	0.067530	rte	0.5600
fluctuation_set_difference	0.067530	arc_challenge	0.2500
fluctuation_set_difference	0.067530	openbookqa	0.2250
fluctuation_set_difference	0.067530	hellaswag	0.3650
fluctuation_set_difference	0.067530	averaged	0.4267


Case 4 not normalized => smallest(diff(safety, utility))
For case 4, there is no need for exaperiments, because remove them will both has big influence to the safety and 
